spell_key,source_file,target_file
steady_shot,Quick Shot - Ranger - Level 1.png,steady_shot.png
hunter_s_mark,Ranger's Mark - Ranger - Level 2.png,hunter_s_mark.png
snare_trap,Snare Trap - Ranger - Level 6.png,snare_trap.png
quickdraw,Swiftstep - Ranger - Level 5.png,quickdraw.png
track_prey,Companion Bond - Ranger - Level 10.png,track_prey.png
piercing_arrow,Piercing Volley - Ranger - Level 8.png,piercing_arrow.png
camouflage,Camouflage - Ranger - Level 14.png,camouflage.png
binding_net,Crippling Shot - Ranger - Level 13.png,binding_net.png
predator_shot,Predator's Focus - Ranger - Level 12.png,predator_shot.png
spike_trap,Volley Trap - Ranger - Level 16.png,spike_trap.png
eagle_eye,Hawk Eye - Ranger - Level 7.png,eagle_eye.png
volley,Barbed Rain - Ranger - Level 11.png,volley.png
disengage_shot,Evasive Roll - Ranger - Level 9.png,disengage_shot.png
beastbane_arrow,Beast Call - Ranger - Level 4.png,beastbane_arrow.png
kill_zone,Dire Companion - Ranger - Level 15.png,kill_zone.png
heartseeker_arrow,Kill Shot - Ranger - Level 17.png,heartseeker_arrow.png
wilderness_reflexes,Survival Instinct - Ranger - Level 18.png,wilderness_reflexes.png
rain_of_barbs,Bleeding Arrow - Ranger - Level 3.png,rain_of_barbs.png
apex_predator,Falcon Dive - Ranger - Level 19.png,apex_predator.png
true_hunt,Wild Hunt - Ranger - Level 20.png,true_hunt.png
