spell_key,source_file,target_file
quick_cut,Quick Cut - Rogue - Level 1.png,quick_cut.png
backstab,Backstab - Rogue - Level 2.png,backstab.png
smoke_veil,Smoke Veil - Rogue - Level 3.png,smoke_veil.png
venom_edge,Venom Edge - Rogue - Level 4.png,venom_edge.png
evasive_step,Evasive Step - Rogue - Level 5.png,evasive_step.png
bleeding_vein,Bleeding Vein - Rogue - Level 6.png,bleeding_vein.png
shadowstep,Shadowstep - Rogue - Level 7.png,shadowstep.png
sap,Sap - Rogue - Level 8.png,sap.png
crippling_toxin,Crippling Toxin - Rogue - Level 9.png,crippling_toxin.png
twin_fang,Twin Fang - Rogue - Level 10.png,twin_fang.png
vanish,Vanish - Rogue - Level 11.png,vanish.png
garrote,Garrote - Rogue - Level 12.png,garrote.png
flurry_cut,Flurry Cut - Rogue - Level 13.png,flurry_cut.png
perfect_counter,Perfect Counter - Rogue - Level 14.png,perfect_counter.png
deathdose,Deathdose - Rogue - Level 15.png,deathdose.png
smoke_bomb,Smoke Bomb - Rogue - Level 16.png,smoke_bomb.png
killing_cut,Killing Cut - Rogue - Level 17.png,killing_cut.png
phantom_blades,Phantom Blades - Rogue - Level 18.png,phantom_blades.png
shadow_dance,Shadow Dance - Rogue - Level 19.png,shadow_dance.png
silent_execution,Silent Execution - Rogue - Level 20.png,silent_execution.png
