spell_key,source_file,target_file
lightning_spark,Lightning Spark - Shaman - Level 1.png,lightning_spark.png
stone_shard,Stone Shard - Shaman - Level 2.png,stone_shard.png
spirit_flame,Spirit Flame - Shaman - Level 3.png,spirit_flame.png
stormcall,Stormcall - Shaman - Level 4.png,stormcall.png
earthbind,Earthbind - Shaman - Level 5.png,earthbind.png
lightning_spear,Lightning Spear - Shaman - Level 6.png,lightning_spear.png
totem_of_sparks,Totem of Sparks - Shaman - Level 7.png,totem_of_sparks.png
earth_spike,Earth Spike - Shaman - Level 8.png,earth_spike.png
ancestor_s_brand,Ancestor’s Brand - Shaman - Level 9.png,ancestor_s_brand.png
chain_storm,Chain Storm - Shaman - Level 10.png,chain_storm.png
quaking_ground,Quaking Ground - Shaman - Level 11.png,quaking_ground.png
ghostfire,Ghostfire - Shaman - Level 12.png,ghostfire.png
thunderclap,Thunderclap - Shaman - Level 13.png,thunderclap.png
stone_fist,Stone Fist - Shaman - Level 14.png,stone_fist.png
ritual_inferno,Ritual Inferno - Shaman - Level 15.png,ritual_inferno.png
skybreak,Skybreak - Shaman - Level 16.png,skybreak.png
mountain_s_wrath,Mountain’s Wrath - Shaman - Level 17.png,mountain_s_wrath.png
spirit_walk,Spirit Walk - Shaman - Level 18.png,spirit_walk.png
tempest_avatar,Tempest Avatar - Shaman - Level 19.png,tempest_avatar.png
ancestral_cataclysm,Ancestral Cataclysm - Shaman - Level 20.png,ancestral_cataclysm.png
