spell,level,source_file,asset_path
Stonehand Strike,1,Warden Spell Icons/Stonehand Strike - Warden - Level 1.png,assets/spell-icons/warden/stonehand_strike.png
Barkskin,2,Warden Spell Icons/Barkskin - Warden - Level 2.png,assets/spell-icons/warden/barkskin.png
Root Grasp,3,Warden Spell Icons/Root Grasp - Warden - Level 3.png,assets/spell-icons/warden/root_grasp.png
Thorn Guard,4,Warden Spell Icons/Thorn Guard - Warden - Level 4.png,assets/spell-icons/warden/thorn_guard.png
Earthen Roar,5,Warden Spell Icons/Earthen Roar - Warden - Level 5.png,assets/spell-icons/warden/earthen_roar.png
Grove Mend,6,Warden Spell Icons/Grove Mend - Warden - Level 6.png,assets/spell-icons/warden/grove_mend.png
Stonehide,7,Warden Spell Icons/Stonehide - Warden - Level 7.png,assets/spell-icons/warden/stonehide.png
Briar Lash,8,Warden Spell Icons/Briar Lash - Warden - Level 8.png,assets/spell-icons/warden/briar_lash.png
Wild Fortitude,9,Warden Spell Icons/Wild Fortitude - Warden - Level 9.png,assets/spell-icons/warden/wild_fortitude.png
Living Wall,10,Warden Spell Icons/Living Wall - Warden - Level 10.png,assets/spell-icons/warden/living_wall.png
Quaking Challenge,11,Warden Spell Icons/Quaking Challenge - Warden - Level 11.png,assets/spell-icons/warden/quaking_challenge.png
Ancient Pulse,12,Warden Spell Icons/Ancient Pulse - Warden - Level 12.png,assets/spell-icons/warden/ancient_pulse.png
Ironroot Stance,13,Warden Spell Icons/Ironroot Stance - Warden - Level 13.png,assets/spell-icons/warden/ironroot_stance.png
Thornsnare,14,Warden Spell Icons/Thornsnare - Warden - Level 14.png,assets/spell-icons/warden/thornsnare.png
Mountain's Patience,15,Warden Spell Icons/Mountain’s Patience - Warden - Level 15.png,assets/spell-icons/warden/mountain_s_patience.png
Grove Shelter,16,Warden Spell Icons/Grove Shelter - Warden - Level 16.png,assets/spell-icons/warden/grove_shelter.png
Primal Guard,17,Warden Spell Icons/Primal Guard - Warden - Level 17.png,assets/spell-icons/warden/primal_guard.png
Heart of the Grove,18,Warden Spell Icons/Heart of the Grove - Warden - Level 18.png,assets/spell-icons/warden/heart_of_the_grove.png
Titanroot,19,Warden Spell Icons/Titanroot - Warden - Level 19.png,assets/spell-icons/warden/titanroot.png
Ancient Warden Form,20,Warden Spell Icons/Ancient Warden Form - Warden - Level 20.png,assets/spell-icons/warden/ancient_warden_form.png
